path,dataset,identity_original,identity_index,photo_id,source_photo,condition,sha256,split_group,fei_name
easy/11-1.jpg,easy,11,0,1,b,noise-dark,98df8ed37b491101f104425f33a20dd25b7e612b7160c5f7f13341495ac938a0,11-b,11b-noise-dark.jpg
easy/11-2.jpg,easy,11,0,2,a,noise,ca6394d74ab77a6a9623b644816b5deb033a75878985c8e6b51d293fc34bc28a,11-a,11a-noise.jpg
easy/11-3.jpg,easy,11,0,3,b,dark,fdbdaf84788a447a19f3cb1d5d4ff33f6aca30194e34128a2d89347a5c9f30b2,11-b,11b-dark.jpg
easy/11-4.jpg,easy,11,0,4,a,noise-dark,c19778135dc91485a5d9e02f4b3dd785ab412c1061f0a5a43c6027cf3ae85804,11-a,11a-noise-dark.jpg
easy/11-5.jpg,easy,11,0,5,a,dark,05fb0c695b9c5b233367bdfd27eb66eef9e84539421f89c4fab6054c006016ca,11-a,11a-dark.jpg
easy/11-6.jpg,easy,11,0,6,a,clean,6a6e29e17db5010f4021a68c8400b2e5b9d0eacfe5784d316acb06cff45ffbe1,11-a,11a.jpg
easy/11-7.jpg,easy,11,0,7,b,clean,9f37249705a9cf444fad1061b7a373780a45b1bf0a5066e39fa12aabc86dee11,11-b,11b.jpg
easy/11-8.jpg,easy,11,0,8,b,noise,129433f07ec11600c5ff5c19d0778785829ee86a768930977519997ca82e6bd0,11-b,11b-noise.jpg
easy/15-1.jpg,easy,15,1,1,b,clean,75e23ce8cbe57b71eb8aba9ea6401b2025be104edcb382b25ddbd3613113ad50,15-b,15b.jpg
easy/15-2.jpg,easy,15,1,2,a,dark,1c1b7e77ff0fe5d0cac1e0c8875507fd89f55f5e509d8472b1effd530a76b78c,15-a,15a-dark.jpg
easy/15-3.jpg,easy,15,1,3,a,clean,762aaf0a245e0ef0ed2d38532e3784fc33ca1f20c29d082112dd25d43c81c773,15-a,15a.jpg
easy/15-4.jpg,easy,15,1,4,b,noise,47d13684d0c505a8c18f5262210fc27e1f67d77387f92a6530e3e2cb1abd5869,15-b,15b-noise.jpg
easy/15-5.jpg,easy,15,1,5,b,dark,9e18704aa5167981d3b2d9a3db52be9ac9db937dea7cc9b1cf5b982ad0a6f61f,15-b,15b-dark.jpg
easy/15-6.jpg,easy,15,1,6,a,noise,d30f134dfa77321841de2cc38d8d8091e49a84da1d7e973d3c5bc2c4ab84119d,15-a,15a-noise.jpg
easy/15-7.jpg,easy,15,1,7,b,noise-dark,36b58b902f5584c9afabc8986da913601c18110f06cdc2acf5f3aa20a17c313c,15-b,15b-noise-dark.jpg
easy/15-8.jpg,easy,15,1,8,a,noise-dark,b7371b0523d239c6ec0f2cd26a07e98049e42823e43db60c7c64ae1c74f5f044,15-a,15a-noise-dark.jpg
easy/16-1.jpg,easy,16,2,1,b,noise-dark,61c664272d05c9f7eca2299e1ed4048ad1be42f17f098e68834d0637595a6862,16-b,16b-noise-dark.jpg
easy/16-2.jpg,easy,16,2,2,b,dark,0221e60e67a99db39cfc4b3354c1d7b7d7a330c3c0ee3aa105740f5a9719beb2,16-b,16b-dark.jpg
easy/16-3.jpg,easy,16,2,3,a,noise-dark,cd621483f2318f27169739e769d1ab7903e425f066cabf6f66f27c8558586a69,16-a,16a-noise-dark.jpg
easy/16-4.jpg,easy,16,2,4,a,noise,aadba6271539b884fc3b30edb3385a2119eac1efaa59baee52a79096d5314033,16-a,16a-noise.jpg
easy/16-5.jpg,easy,16,2,5,b,noise,6a5ee00a91d88720413d92ef9c5f0b5c40c0f4f507a7a7362f580b197b249541,16-b,16b-noise.jpg
easy/16-6.jpg,easy,16,2,6,a,clean,7baac46c753100d0cd07cd45572611e42b94f51aea9d7fafedc38eed8a9aa212,16-a,16a.jpg
easy/16-7.jpg,easy,16,2,7,b,clean,060f5da4c4a4e973cfe24db93cf3ce319c61a881b3a68f8a74414e822c40297f,16-b,16b.jpg
easy/16-8.jpg,easy,16,2,8,a,dark,fe72e0ec7217e60d76bc8fb6de47cd81c81181d8c1826beabf845f26510c8ad6,16-a,16a-dark.jpg
easy/2-1.jpg,easy,2,3,1,a,noise,8bf5def94eb233a9295aae676d31f0a7992bf099c28f5880af9a5c949f337a87,2-a,2a-noise.jpg
easy/2-2.jpg,easy,2,3,2,b,clean,874f93cef3305254c7e488a1fdcfec3478667a7666df0c95390f3649a09105fe,2-b,2b.jpg
easy/2-3.jpg,easy,2,3,3,a,clean,a3fb54413073453c10416878545e7d6e0e952a46d6fbfe27fafe953d4dbcc739,2-a,2a.jpg
easy/2-4.jpg,easy,2,3,4,b,dark,0224ab2928fd7b02fb02f2da7156f1e441039b2895732551300337b37cbc4dbc,2-b,2b-dark.jpg
easy/2-5.jpg,easy,2,3,5,b,noise-dark,7153ee88a50accf2110218ecc5d253c8415ecdf2759fcaa05c88b75a88f54440,2-b,2b-noise-dark.jpg
easy/2-6.jpg,easy,2,3,6,b,noise,482ca37c5bfe076f14740dfe2d2117447e44b2f04e6529411cea87246555e137,2-b,2b-noise.jpg
easy/2-7.jpg,easy,2,3,7,a,dark,121cbad34ca10cef7171a0efd0232394ebb32fd839094315774ec0b04d51874b,2-a,2a-dark.jpg
easy/2-8.jpg,easy,2,3,8,a,noise-dark,d2418d66f8fd9441981ecd43c532f99c653863d284e981875f7575082913ef2f,2-a,2a-noise-dark.jpg
easy/87-1.jpg,easy,87,4,1,b,noise,6a7dc308aaa6836a57e8973442f3a92dee02787350af7ab0fd16e21dcd208817,87-b,87b-noise.jpg
easy/87-2.jpg,easy,87,4,2,a,dark,2400c3669e01d740a53fe53ca69c4b0d978f8b47c4e24929f595736ebf0f9bda,87-a,87a-dark.jpg
easy/87-3.jpg,easy,87,4,3,a,clean,1c6bce814d688c3d0cb857b796b5b04e6024b80a32dcff1e5fd2dc87b568fc5c,87-a,87a.jpg
easy/87-4.jpg,easy,87,4,4,b,clean,de692d1172b97cee7a6d0ca7f4258a01e654cae03d74b03103c094e642d36dfe,87-b,87b.jpg
easy/87-5.jpg,easy,87,4,5,b,dark,4995259cea00cbe48678ded8e662ca27044b960eda2299b5bc91909ac1c7783b,87-b,87b-dark.jpg
easy/87-6.jpg,easy,87,4,6,a,noise-dark,8a27edd30ab82872fc3cbb50b19da0aee6d065dddd68268f15dba784784e9f88,87-a,87a-noise-dark.jpg
easy/87-7.jpg,easy,87,4,7,a,noise,b9c3fbec7a25a81d32f3ce4ee6a8ebc8c96a8c3a1e32d1382c80f5f2fc332028,87-a,87a-noise.jpg
easy/87-8.jpg,easy,87,4,8,b,noise-dark,a2bc460120b3ad677b65f3be8fece8d1f22ab85bae81e9276d250da4557a2ff7,87-b,87b-noise-dark.jpg
